ev_decile,n,eff_n,mean_ev,win_rate,avg_roi
1,3636,1808.504696914173,0.0015576604205987195,0.39007736616057015,-0.07664035041452692
2,3670,1820.644599332928,0.004197239009945255,0.4372115693789693,-0.008450842298374032
3,3601,1844.7799540842586,0.006472385241725609,0.3578012383015503,-0.051832679906807254
4,4282,2202.141209042408,0.009474012524751208,0.4623201191961816,0.025100197965769264
5,2983,1504.6723411469186,0.011330871696905016,0.3496685912713692,-0.06198368361301231
6,3646,1760.9841581648748,0.014735793804419224,0.3823297937312407,0.0028506528691303944
7,3626,1674.125056859442,0.020125677764314745,0.3645142313547864,-0.026667676852962716
8,3636,1591.0150496646727,0.027151366786005108,0.3386792702953449,0.006286752019811561
9,3630,1508.8169211959191,0.040082485853208234,0.27202115418578454,-0.05712280010890452
10,3632,1563.3160135943317,0.17925780157704788,0.27341243653898467,0.06855169868523167
